headline,url
UK  Boris Johnson accused of changing ministerial code to ‘save his skin’ ,https://www.theguardian.com/politics/2022/may/27/boris-johnson-changes-ministerial-code-to-remove-need-to-resign-over-breaches
"Partygate Met never asked me for evidence, says Cummings",https://www.theguardian.com/politics/2022/may/27/met-never-asked-me-for-lockdown-party-evidence-dominic-cummings
Tories The MPs calling on Johnson to resign,https://www.theguardian.com/politics/2022/may/26/tory-mps-calling-on-boris-johnson-to-resign-conservatives-letter-no-confidence
Sue Gray report Full breakdown of findings about No 10 parties,https://www.theguardian.com/politics/2022/may/25/sue-gray-report-full-breakdown-findings-no-10-parties
"Partygate Met never asked me for evidence, says Cummings",https://www.theguardian.com/politics/2022/may/27/met-never-asked-me-for-lockdown-party-evidence-dominic-cummings
Tories The MPs calling on Johnson to resign,https://www.theguardian.com/politics/2022/may/26/tory-mps-calling-on-boris-johnson-to-resign-conservatives-letter-no-confidence
Sue Gray report Full breakdown of findings about No 10 parties,https://www.theguardian.com/politics/2022/may/25/sue-gray-report-full-breakdown-findings-no-10-parties
Boris Johnson accused of changing ministerial code to ‘save his skin’,https://www.theguardian.com/politics/2022/may/27/boris-johnson-changes-ministerial-code-to-remove-need-to-resign-over-breaches
Persian Gulf  Iran seizes two Greek tankers amid rising tensions ,https://www.theguardian.com/world/2022/may/27/iran-seizes-two-greek-tankers-amid-rising-tensions-in-the-gulf
Iran seizes two Greek tankers amid rising tensions,https://www.theguardian.com/world/2022/may/27/iran-seizes-two-greek-tankers-amid-rising-tensions-in-the-gulf
New York  Trump loses bid to thwart New York inquiry into his business practices ,https://www.theguardian.com/us-news/2022/may/27/trump-new-york-attorney-general-lawsuit
Trump loses bid to thwart New York inquiry into his business practices,https://www.theguardian.com/us-news/2022/may/27/trump-new-york-attorney-general-lawsuit
California  Rattlesnakes thrive amid increasingly hot temperatures ,https://www.theguardian.com/us-news/2022/may/27/rattlesnakes-california-climate-change-hotter-temperatures
Rattlesnakes thrive amid increasingly hot temperatures,https://www.theguardian.com/us-news/2022/may/27/rattlesnakes-california-climate-change-hotter-temperatures
Elon Musk  SEC publishes letter asking Tesla co-founder to explain late Twitter filing ,https://www.theguardian.com/technology/2022/may/27/elon-musk-sec-letter-late-twitter-stake-filing-takeover
SEC publishes letter asking Tesla co-founder to explain late Twitter filing,https://www.theguardian.com/technology/2022/may/27/elon-musk-sec-letter-late-twitter-stake-filing-takeover
Mexico  Archaeologists discover ancient Mayan city at construction site ,https://www.theguardian.com/world/2022/may/27/mexico-mayan-city-xiol-discovered
Archaeologists discover ancient Mayan city at construction site,https://www.theguardian.com/world/2022/may/27/mexico-mayan-city-xiol-discovered
Capitol attack  Kevin McCarthy refuses to comply with House panel's subpoena ,https://www.theguardian.com/us-news/2022/may/27/kevin-mccarthy-refuses-capitol-attack-subpoena
Kevin McCarthy refuses to comply with House panel's subpoena,https://www.theguardian.com/us-news/2022/may/27/kevin-mccarthy-refuses-capitol-attack-subpoena
Canada  Supreme court rules life without chance of parole is ‘cruel’ and illegal ,https://www.theguardian.com/world/2022/may/27/canada-supreme-court-life-without-parole-cruel-unconstitutional
Supreme court rules life without chance of parole is ‘cruel’ and illegal,https://www.theguardian.com/world/2022/may/27/canada-supreme-court-life-without-parole-cruel-unconstitutional
Toronto  Police recover pellet gun after officers shoot dead man ‘carrying rifle’ ,https://www.theguardian.com/world/2022/may/27/toronto-police-pellet-gun-school-shoot-dead-man-canada
Police recover pellet gun after officers shoot dead man ‘carrying rifle’,https://www.theguardian.com/world/2022/may/27/toronto-police-pellet-gun-school-shoot-dead-man-canada
Kevin Spacey  Film producers respond to sexual-assault charges: ‘There are those who wish for him not to act’ ,https://www.theguardian.com/film/2022/may/27/kevin-spacey-film-producers-respond-to-sexual-assault-charges-there-are-those-who-wish-for-him-not-to-act
Film producers respond to sexual-assault charges: ‘There are those who wish for him not to act’,https://www.theguardian.com/film/2022/may/27/kevin-spacey-film-producers-respond-to-sexual-assault-charges-there-are-those-who-wish-for-him-not-to-act
