headline,url
,/world/2025/may/03/marco-rubio-germany-afd
"Voice of AmericaCourt foils plan to reinstate more than 1,000 Voice of America employees",/us-news/2025/may/03/voice-of-america-trump-return-to-air
"ExclusiveMass resignations at labor department threaten workers in US and overseas, warn staff – as more cuts loom",/us-news/2025/may/03/mass-resignations-at-labor-department-threaten-workers-in-us-and-overseas-warn-staff-as-more-cuts-loom
‘What is left of our democracy?'Freed Palestinian human rights advocate warns of US authoritarian rule,/law/2025/may/03/mohsen-mahdawi-trump-deportations
,/business/2025/may/03/warren-buffett-retirement-berkshire-hathaway
,/australia-news/2025/may/03/anthony-albanese-wins-2025-federal-election-with-labor-on-track-for-majority
"AnalysisAlbanese’s experience showed, but a truly terrible Trump-inspired Coalition campaign helped",/australia-news/2025/may/04/anthony-albaneses-experience-showed-but-a-truly-terrible-trump-inspired-coalition-campaign-helped
AustraliaAnthony Albanese re-elected as Labor rides anti-Trump wave to seal crushing win,/australia-news/2025/may/03/australia-election-anthony-albanese-labor-party-peter-dutton
AnalysisAlbanese claims a piece of history as scale of Labor victory stuns raucous crowd,/australia-news/2025/may/04/anthony-albanese-claims-a-piece-of-history-as-scale-of-victory-stuns-raucous-crowd-australian-federal-election-2025
,/world/2025/may/03/israeli-airstrikes-gaza-death-toll-bureij-beit-lahiya-khan-younis
,/us-news/2025/may/02/swarthmore-students-suspended-pro-palestinian-camp
,/us-news/2025/may/03/guatemalan-arizona-deportation
,/us-news/2025/may/03/texas-schools-greg-abbott-vouchers
,/world/2025/may/04/ukraine-war-briefing-maritime-drone-shoots-down-russian-fighter-jet-for-first-time-says-kyiv
,/technology/2025/may/03/elon-musk-spacex-texas
,/us-news/2025/may/03/guinness-world-records-smallest-tallest-dogs
,/us-news/2025/may/03/mexico-zinc-nacional-factory-hazardous-waste-relocation
