headline,url
Kevin McCarthy  Democrats decry new House rules as 'ransom note to America' ,https://www.theguardian.com/us-news/2023/jan/09/mccarthy-house-speaker-moderate-republicans
House Republicans Move to defang ethics office,https://www.theguardian.com/us-news/2023/jan/09/house-republicans-defang-ethics-office-investigating-members
Opinion Republicans have the same roots as Brexit spartans,https://www.theguardian.com/commentisfree/2023/jan/08/americas-taliban-20-republicans-have-the-same-roots-as-our-brexit-spartans
Dr Dre Artist deplores Marjorie Taylor Greene using his song,https://www.theguardian.com/music/2023/jan/09/dr-dre-marjorie-taylor-greene-song-promo-video
House Republicans Move to defang ethics office,https://www.theguardian.com/us-news/2023/jan/09/house-republicans-defang-ethics-office-investigating-members
Opinion Republicans have the same roots as Brexit spartans,https://www.theguardian.com/commentisfree/2023/jan/08/americas-taliban-20-republicans-have-the-same-roots-as-our-brexit-spartans
Dr Dre Artist deplores Marjorie Taylor Greene using his song,https://www.theguardian.com/music/2023/jan/09/dr-dre-marjorie-taylor-greene-song-promo-video
Democrats decry new House rules as 'ransom note to America',https://www.theguardian.com/us-news/2023/jan/09/mccarthy-house-speaker-moderate-republicans
Joe Biden  US justice department investigating papers stored at then vice-president's former institute ,https://www.theguardian.com/us-news/2023/jan/09/us-justice-department-investigating-documents-biden
Biden Octogenarian begins new year facing age old question,https://www.theguardian.com/us-news/2023/jan/09/joe-biden-2024-race-age
Biden Octogenarian begins new year facing age old question,https://www.theguardian.com/us-news/2023/jan/09/joe-biden-2024-race-age
US justice department investigating papers stored at then vice-president's former institute,https://www.theguardian.com/us-news/2023/jan/09/us-justice-department-investigating-documents-biden
California  Several counties ordered to evacuate as deadly storm weathers on ,https://www.theguardian.com/us-news/2023/jan/09/california-weather-flooding-storms-heavy-rains-winds
Several counties ordered to evacuate as deadly storm weathers on,https://www.theguardian.com/us-news/2023/jan/09/california-weather-flooding-storms-heavy-rains-winds
Brazil  Envoy decries ‘grotesque and failed assault’ on democracy ,https://www.theguardian.com/world/2023/jan/09/brazil-bolsonaro-lula-brasilia-attacks-insurrection
Jair Bolsonaro Brazil capital attack complicates his US ties,https://www.theguardian.com/world/2023/jan/09/brazil-capital-attack-bolsonaro-us-relationship-florida
Jair Bolsonaro Brazil capital attack complicates his US ties,https://www.theguardian.com/world/2023/jan/09/brazil-capital-attack-bolsonaro-us-relationship-florida
Envoy decries ‘grotesque and failed assault’ on democracy,https://www.theguardian.com/world/2023/jan/09/brazil-bolsonaro-lula-brasilia-attacks-insurrection
"New York  More than 7,000 nurses go on strike at two New York City hospitals  ",https://www.theguardian.com/us-news/2023/jan/09/nurse-strike-mount-sinai-montefiore-new-york-city
"More than 7,000 nurses go on strike at two New York City hospitals ",https://www.theguardian.com/us-news/2023/jan/09/nurse-strike-mount-sinai-montefiore-new-york-city
Prince Harry  Duke says any return to royal fold would be ‘unsurvivable’ ,https://www.theguardian.com/uk-news/2023/jan/09/prince-harry-says-any-return-to-royal-fold-would-be-unsurvivable-camilla
Duke says any return to royal fold would be ‘unsurvivable’,https://www.theguardian.com/uk-news/2023/jan/09/prince-harry-says-any-return-to-royal-fold-would-be-unsurvivable-camilla
"Environment  Earth’s ozone layer on course to be healed within decades, UN report finds ",https://www.theguardian.com/environment/2023/jan/09/ozone-layer-healed-within-decades-un-report
"Earth’s ozone layer on course to be healed within decades, UN report finds",https://www.theguardian.com/environment/2023/jan/09/ozone-layer-healed-within-decades-un-report
Ukraine  Troops reinforce Bakhmut defences amid relentless Russian assault ,https://www.theguardian.com/world/2023/jan/09/ukraine-reinforces-bakhmut-defences-relentless-russian-assault
Troops reinforce Bakhmut defences amid relentless Russian assault,https://www.theguardian.com/world/2023/jan/09/ukraine-reinforces-bakhmut-defences-relentless-russian-assault
‘Lack of respect’  Outcry over Amazon employee’s death on warehouse floor ,https://www.theguardian.com/technology/2023/jan/09/amazon-employee-death-warehouse-floor-colorado
Outcry over Amazon employee’s death on warehouse floor,https://www.theguardian.com/technology/2023/jan/09/amazon-employee-death-warehouse-floor-colorado
Harvey Weinstein  Sentencing on Los Angeles rape conviction delayed ,https://www.theguardian.com/world/2023/jan/09/harvey-weinstein-prison-sentence-los-angeles
Sentencing on Los Angeles rape conviction delayed,https://www.theguardian.com/world/2023/jan/09/harvey-weinstein-prison-sentence-los-angeles
Virginia  Teacher who was shot by six-year-old tried to confiscate gun – report ,https://www.theguardian.com/us-news/2023/jan/09/virginia-teacher-shot-newport-news-richneck-elementary-abby-zwerner
Teacher who was shot by six-year-old tried to confiscate gun – report,https://www.theguardian.com/us-news/2023/jan/09/virginia-teacher-shot-newport-news-richneck-elementary-abby-zwerner
