headline,url
Medicaid  Millions risk losing US healthcare when Covid emergency declaration expires ,https://www.theguardian.com/us-news/2022/may/26/millions-risk-losing-us-healthcare-when-pandemic-emergency-declaration-expires
Millions risk losing US healthcare when Covid emergency declaration expires,https://www.theguardian.com/us-news/2022/may/26/millions-risk-losing-us-healthcare-when-pandemic-emergency-declaration-expires
UK  Kevin Spacey facing four counts of sexual assault against three men ,https://www.theguardian.com/uk-news/2022/may/26/kevin-spacey-charged-with-four-counts-of-sexual-assault-against-three-men
Kevin Spacey facing four counts of sexual assault against three men,https://www.theguardian.com/uk-news/2022/may/26/kevin-spacey-charged-with-four-counts-of-sexual-assault-against-three-men
Ray Liotta  Star of Goodfellas and Field of Dreams dies aged 67 ,https://www.theguardian.com/film/2022/may/26/ray-liotta-star-of-goodfellas-and-field-of-dreams-dies-aged-67
A life in pictures  Ray Liotta,https://www.theguardian.com/film/gallery/2022/may/26/ray-liotta-a-life-in-pictures-goodfellas-field-of-dreams
"Grit, humour and heart Actor's radiance punctured tough roles",https://www.theguardian.com/film/filmblog/2022/may/26/ray-liotta-goodfellas-actor-had-boyish-radiance-to-puncture-the-toughness
A life in pictures  Ray Liotta,https://www.theguardian.com/film/gallery/2022/may/26/ray-liotta-a-life-in-pictures-goodfellas-field-of-dreams
"Grit, humour and heart Actor's radiance punctured tough roles",https://www.theguardian.com/film/filmblog/2022/may/26/ray-liotta-goodfellas-actor-had-boyish-radiance-to-puncture-the-toughness
Star of Goodfellas and Field of Dreams dies aged 67,https://www.theguardian.com/film/2022/may/26/ray-liotta-star-of-goodfellas-and-field-of-dreams-dies-aged-67
"Environment  People in US and UK face huge financial hit if fossil fuels lose value, study shows ",https://www.theguardian.com/environment/2022/may/26/people-in-us-and-uk-face-huge-financial-hit-if-fossil-fuels-lose-value-study-shows
"People in US and UK face huge financial hit if fossil fuels lose value, study shows",https://www.theguardian.com/environment/2022/may/26/people-in-us-and-uk-face-huge-financial-hit-if-fossil-fuels-lose-value-study-shows
  Charles Manson follower Patricia Krenwinkel recommended for parole ,https://www.theguardian.com/us-news/2022/may/26/patricia-krenwinkel-charles-manson-parole
Charles Manson follower Patricia Krenwinkel recommended for parole,https://www.theguardian.com/us-news/2022/may/26/patricia-krenwinkel-charles-manson-parole
Canada  Toronto police fatally shoot man seen carrying rifle near elementary school ,https://www.theguardian.com/world/2022/may/26/toronto-police-man-rifle-elementary-school
Toronto police fatally shoot man seen carrying rifle near elementary school,https://www.theguardian.com/world/2022/may/26/toronto-police-man-rifle-elementary-school
Chile  Government apologizes to woman for forced sterilization  ,https://www.theguardian.com/global-development/2022/may/26/chile-apologizes-woman-forced-sterilization-hiv
Government apologizes to woman for forced sterilization ,https://www.theguardian.com/global-development/2022/may/26/chile-apologizes-woman-forced-sterilization-hiv
Brazil  Outrage as mentally ill Black man dies in police car ‘gas chamber’ ,https://www.theguardian.com/world/2022/may/26/brazil-mentally-ill-black-man-dies-gas-police-car
Outrage as mentally ill Black man dies in police car ‘gas chamber’,https://www.theguardian.com/world/2022/may/26/brazil-mentally-ill-black-man-dies-gas-police-car
"Donald Trump  Ex-president and two of his children must testify in tax fraud case, court rules ",https://www.theguardian.com/us-news/2022/may/26/donald-trump-testify-new-york-attorney-general
"Ex-president and two of his children must testify in tax fraud case, court rules",https://www.theguardian.com/us-news/2022/may/26/donald-trump-testify-new-york-attorney-general
Elon Musk  Billionaire sued by Twitter investors for delaying disclosure of stake ,https://www.theguardian.com/technology/2022/may/26/elon-musk-twitter-investors-sue
Billionaire sued by Twitter investors for delaying disclosure of stake,https://www.theguardian.com/technology/2022/may/26/elon-musk-twitter-investors-sue
Portland  How to Murder Your Husband writer found guilty of murdering husband ,https://www.theguardian.com/us-news/2022/may/26/how-murder-husband-writer-guilty-nancy-crampton-brophy
How to Murder Your Husband writer found guilty of murdering husband,https://www.theguardian.com/us-news/2022/may/26/how-murder-husband-writer-guilty-nancy-crampton-brophy
