headline,url
,/us-news/article/2024/jun/30/biden-meeting-family-political-future
"PollMost voters want Biden to step aside, but don’t agree on suitable alternative",/us-news/article/2024/jun/30/biden-debate-voters-poll
,/business/article/2024/jun/30/boeing-justice-department-sweetheart-deal-ethiopian-lion-air
,/world/live/2024/jun/30/france-election-live-polls-close-marine-le-pen-national-rally-emmanuel-macron
ReactionUnease and fear as Le Pen’s party leads in polls,/world/article/2024/jun/30/unease-and-fear-in-france-as-marine-le-pens-national-rally-leads-in-polls
TurnoutVoter numbers reach near-40-year high,/world/article/2024/jun/30/france-heading-to-the-polls-in-high-stakes-snap-parliamentary-election
ExplainedWhat to look out for and when,/world/article/2024/jun/30/french-parliamentary-elections-what-to-look-out-for-and-when-le-pen-macron
,/world/article/2024/jun/30/hurricane-beryl-earliest-category-4-on-record
,/us-news/article/2024/jun/30/lindsey-graham-retribution-against-democrats
,/us-news/article/2024/jun/30/rare-white-buffalo-missing-yellowstone
,/us-news/article/2024/jun/30/south-carolina-public-school-book-ban
,/us-news/article/2024/jun/30/trump-loyalists-deep-state-blacklist-american-accountability-foundation
,/world/article/2024/jun/30/nigeria-suicide-attacks-borno-state-gwoza
,/us-news/article/2024/jun/30/new-york-police-fatal-shooting-boy-utica
,/environment/article/2024/jun/30/pfas-absorbed-skin-study
