headline,url
FBI  Two Trump lawyers could be witnesses or targets in Mar-a-Lago investigation ,https://www.theguardian.com/us-news/2022/aug/31/donald-trump-lawyers-christina-bobb-evan-corcoran
DoJ FBI searched Mar-a-Lago over efforts to hide classified files,https://www.theguardian.com/us-news/2022/aug/31/fbi-searched-trump-mar-a-lago-home-over-efforts-to-hide-classified-files-justice-department-says
Mar-a-Lago Trump boasted he had ‘intelligence’ on Macron’s sex life,https://www.theguardian.com/us-news/2022/aug/31/trump-boasted-he-had-intelligence-on-macron-sex-life
Explainer What is a special master and why does Trump want one? ,https://www.theguardian.com/us-news/2022/aug/31/trump-special-master-explainer
DoJ FBI searched Mar-a-Lago over efforts to hide classified files,https://www.theguardian.com/us-news/2022/aug/31/fbi-searched-trump-mar-a-lago-home-over-efforts-to-hide-classified-files-justice-department-says
Mar-a-Lago Trump boasted he had ‘intelligence’ on Macron’s sex life,https://www.theguardian.com/us-news/2022/aug/31/trump-boasted-he-had-intelligence-on-macron-sex-life
Explainer What is a special master and why does Trump want one? ,https://www.theguardian.com/us-news/2022/aug/31/trump-special-master-explainer
Two Trump lawyers could be witnesses or targets in Mar-a-Lago investigation,https://www.theguardian.com/us-news/2022/aug/31/donald-trump-lawyers-christina-bobb-evan-corcoran
Vaccines  FDA authorizes Covid-19 booster shots retooled to tackle Omicron subvariants ,https://www.theguardian.com/world/2022/aug/31/covid-booster-omicron-subvariant-authrorized-fda
FDA authorizes Covid-19 booster shots retooled to tackle Omicron subvariants,https://www.theguardian.com/world/2022/aug/31/covid-booster-omicron-subvariant-authrorized-fda
US Open  Dazzling Williams rolls back the years to beat No 2 seed Kontaveit ,https://www.theguardian.com/sport/2022/aug/31/serena-williams-beats-anett-kontaveit-us-open-tennis-third-round
Dazzling Williams rolls back the years to beat No 2 seed Kontaveit,https://www.theguardian.com/sport/2022/aug/31/serena-williams-beats-anett-kontaveit-us-open-tennis-third-round
Alaska  Democrat Mary Peltola wins special election over Sarah Palin ,https://www.theguardian.com/us-news/2022/aug/31/alaska-special-election-mary-peltola-wins
Democrat Mary Peltola wins special election over Sarah Palin,https://www.theguardian.com/us-news/2022/aug/31/alaska-special-election-mary-peltola-wins
"Climate crisis  Brutal heatwave scorches US west, sparking fires and health warnings ",https://www.theguardian.com/us-news/2022/aug/31/us-heatwave-west-california-pacific-north-west-nevada-idaho-montana
"Brutal heatwave scorches US west, sparking fires and health warnings",https://www.theguardian.com/us-news/2022/aug/31/us-heatwave-west-california-pacific-north-west-nevada-idaho-montana
"China  Treatment of Uyghurs may be crime against humanity, says UN human rights chief ",https://www.theguardian.com/world/2022/aug/31/china-uyghur-muslims-xinjiang-michelle-bachelet-un
"Treatment of Uyghurs may be crime against humanity, says UN human rights chief",https://www.theguardian.com/world/2022/aug/31/china-uyghur-muslims-xinjiang-michelle-bachelet-un
Islamic State  Justin Trudeau to ‘follow up’ Canadian spy claim ,https://www.theguardian.com/uk-news/2022/sep/01/shamima-begum-justin-trudeau-to-follow-up-canadian-spy-claim
Justin Trudeau to ‘follow up’ Canadian spy claim,https://www.theguardian.com/uk-news/2022/sep/01/shamima-begum-justin-trudeau-to-follow-up-canadian-spy-claim
New Mexico  State to build abortion clinic near Texas border after Roe decision ,https://www.theguardian.com/us-news/2022/aug/31/abortion-new-mexico-reproductive-healthcare-clinic
State to build abortion clinic near Texas border after Roe decision,https://www.theguardian.com/us-news/2022/aug/31/abortion-new-mexico-reproductive-healthcare-clinic
Ohio  Officer kills 20-year-old Black man seconds after opening his bedroom door ,https://www.theguardian.com/us-news/2022/aug/31/ohio-police-shot-black-man-bedroom-warrant
Officer kills 20-year-old Black man seconds after opening his bedroom door,https://www.theguardian.com/us-news/2022/aug/31/ohio-police-shot-black-man-bedroom-warrant
Canada  Police trio charged with manslaughter over shooting death of 18-month-old ,https://www.theguardian.com/world/2022/aug/31/canada-police-ontario-infant-shooting-death
Police trio charged with manslaughter over shooting death of 18-month-old,https://www.theguardian.com/world/2022/aug/31/canada-police-ontario-infant-shooting-death
Pakistan  Health officials warn of major outbreaks of disease after severe floods ,https://www.theguardian.com/global-development/2022/aug/31/health-officials-warn-of-major-outbreaks-of-disease-after-severe-floods-in-pakistan
Health officials warn of major outbreaks of disease after severe floods,https://www.theguardian.com/global-development/2022/aug/31/health-officials-warn-of-major-outbreaks-of-disease-after-severe-floods-in-pakistan
