headline,url
Coronavirus  Anthony Fauci calls Republican ‘overhyping’ claim preposterous ,https://www.theguardian.com/us-news/2021/dec/05/anthony-fauci-covid-omicron-aids-hiv-republican-ron-johnson
Omicron The latest challenge to Joe Biden’s presidency,https://www.theguardian.com/us-news/2021/dec/05/biden-administration-coronavirus-omicron
From pandemic to endemic This is how we might get back to normal,https://www.theguardian.com/us-news/2021/dec/05/covid-19-from-pandemic-to-endemic-this-is-how-we-might-get-back-to-normal
Omicron What do we know about the new Covid variant?,https://www.theguardian.com/world/2021/dec/05/omicron-what-do-we-know-about-the-new-covid-variant
Omicron The latest challenge to Joe Biden’s presidency,https://www.theguardian.com/us-news/2021/dec/05/biden-administration-coronavirus-omicron
From pandemic to endemic This is how we might get back to normal,https://www.theguardian.com/us-news/2021/dec/05/covid-19-from-pandemic-to-endemic-this-is-how-we-might-get-back-to-normal
Omicron What do we know about the new Covid variant?,https://www.theguardian.com/world/2021/dec/05/omicron-what-do-we-know-about-the-new-covid-variant
Anthony Fauci calls Republican ‘overhyping’ claim preposterous,https://www.theguardian.com/us-news/2021/dec/05/anthony-fauci-covid-omicron-aids-hiv-republican-ron-johnson
Abortion  Republicans confident of supreme court victory  ,https://www.theguardian.com/world/2021/dec/05/supreme-court-abortion-rights-roe-wade-republicans
"‘Historical accident’ How abortion came to focus white, evangelical anger",https://www.theguardian.com/world/2021/dec/05/abortion-opposition-focus-white-evangelical-anger
"‘Historical accident’ How abortion came to focus white, evangelical anger",https://www.theguardian.com/world/2021/dec/05/abortion-opposition-focus-white-evangelical-anger
Republicans confident of supreme court victory ,https://www.theguardian.com/world/2021/dec/05/supreme-court-abortion-rights-roe-wade-republicans
Bob Dole  Giant of Republican politics and presidential nominee dies aged 98 ,https://www.theguardian.com/us-news/2021/dec/05/bob-dole-republican-presidential-nominee-senator-dies-aged
"Appreciation Soldier, politician, old-school Republican ",https://www.theguardian.com/us-news/2021/dec/05/bob-dole-soldier-politician-republican-old-school
"Obituary Bob Dole, 1923-2021",https://www.theguardian.com/us-news/2021/dec/05/bob-dole-obituary
"Appreciation Soldier, politician, old-school Republican ",https://www.theguardian.com/us-news/2021/dec/05/bob-dole-soldier-politician-republican-old-school
"Obituary Bob Dole, 1923-2021",https://www.theguardian.com/us-news/2021/dec/05/bob-dole-obituary
Giant of Republican politics and presidential nominee dies aged 98,https://www.theguardian.com/us-news/2021/dec/05/bob-dole-republican-presidential-nominee-senator-dies-aged
CNN  Chris Cuomo accused of sexual harassment days before he was fired ,https://www.theguardian.com/us-news/2021/dec/05/chris-cuomo-cnn-fired-sexual-harassment-allegation
Chris Cuomo accused of sexual harassment days before he was fired,https://www.theguardian.com/us-news/2021/dec/05/chris-cuomo-cnn-fired-sexual-harassment-allegation
Tulum  Tourists bask on a battlefield as drug gangs fight over Mexican resort town ,https://www.theguardian.com/world/2021/dec/05/tourists-bask-on-a-battlefield-as-drug-gangs-fight-over-mexican-resort-town
Tourists bask on a battlefield as drug gangs fight over Mexican resort town,https://www.theguardian.com/world/2021/dec/05/tourists-bask-on-a-battlefield-as-drug-gangs-fight-over-mexican-resort-town
Ilhan Omar  McCarthy a ‘coward’ for not condemning Islamophobia ,https://www.theguardian.com/us-news/2021/dec/05/ilhan-omar-kevin-mccarthy-lauren-boebert-islamophobic-comments
McCarthy a ‘coward’ for not condemning Islamophobia,https://www.theguardian.com/us-news/2021/dec/05/ilhan-omar-kevin-mccarthy-lauren-boebert-islamophobic-comments
Trump double negative  Twitter sees proof positive of no electoral fraud ,https://www.theguardian.com/us-news/2021/dec/05/trump-double-negative-twitter-electoral-fraud
Twitter sees proof positive of no electoral fraud,https://www.theguardian.com/us-news/2021/dec/05/trump-double-negative-twitter-electoral-fraud
Thomas Massie  Republican condemned for Christmas guns photo ,https://www.theguardian.com/us-news/2021/dec/05/republican-thomas-massie-condemned-for-christmas-guns-photo-congressman-michigan-school-shooting
Republican condemned for Christmas guns photo,https://www.theguardian.com/us-news/2021/dec/05/republican-thomas-massie-condemned-for-christmas-guns-photo-congressman-michigan-school-shooting
Michigan shooting  Third party to investigate school’s actions  ,https://www.theguardian.com/us-news/2021/dec/05/michigan-high-school-shooting-third-party-investigation
Third party to investigate school’s actions ,https://www.theguardian.com/us-news/2021/dec/05/michigan-high-school-shooting-third-party-investigation
France  Far-right presidential candidate put in headlock by protester ,https://www.theguardian.com/world/2021/dec/05/far-right-french-presidential-candidate-put-in-headlock-by-protester-at-rally
Far-right presidential candidate put in headlock by protester,https://www.theguardian.com/world/2021/dec/05/far-right-french-presidential-candidate-put-in-headlock-by-protester-at-rally
Finders keepers  Climber given jewels he found on Mont Blanc 50 years after plane crash ,https://www.theguardian.com/world/2021/dec/06/mountaineer-given-jewels-he-found-on-french-glacier-50-years-after-plane-crash
Climber given jewels he found on Mont Blanc 50 years after plane crash,https://www.theguardian.com/world/2021/dec/06/mountaineer-given-jewels-he-found-on-french-glacier-50-years-after-plane-crash
