headline,url
Ukraine  Joe Biden says risk of Russian invasion ‘very high’ ,https://www.theguardian.com/world/2022/feb/17/joe-biden-says-risk-of-russian-invasion-of-ukraine-very-high
Live Biden accuses Russia of ‘false flag operation’,https://www.theguardian.com/world/live/2022/feb/17/russia-ukraine-news-troops-border-latest-live-putin-biden-kyiv-russian-invasion-threat
UK Ukraine warnings stepped up despite Moscow assurances ,https://www.theguardian.com/world/2022/feb/17/russian-forces-closer-ukraine-border-uk-sources
Explainer What is the background to the attack in east Ukraine?,https://www.theguardian.com/world/2022/feb/17/what-is-the-background-to-the-separatists-attack-in-east-ukraine
Live Biden accuses Russia of ‘false flag operation’,https://www.theguardian.com/world/live/2022/feb/17/russia-ukraine-news-troops-border-latest-live-putin-biden-kyiv-russian-invasion-threat
UK Ukraine warnings stepped up despite Moscow assurances ,https://www.theguardian.com/world/2022/feb/17/russian-forces-closer-ukraine-border-uk-sources
Explainer What is the background to the attack in east Ukraine?,https://www.theguardian.com/world/2022/feb/17/what-is-the-background-to-the-separatists-attack-in-east-ukraine
Joe Biden says risk of Russian invasion ‘very high’,https://www.theguardian.com/world/2022/feb/17/joe-biden-says-risk-of-russian-invasion-of-ukraine-very-high
Donald Trump  Judge rules ex-president and his two eldest children must testify in fraud investigation ,https://www.theguardian.com/us-news/2022/feb/17/donald-trump-children-testify-new-york-fraud-investigation
Truth Social Beta testers get a glimpse of Trump’s new app,https://www.theguardian.com/us-news/2022/feb/17/truth-social-donald-trump-social-media-app
Truth Social Beta testers get a glimpse of Trump’s new app,https://www.theguardian.com/us-news/2022/feb/17/truth-social-donald-trump-social-media-app
Judge rules ex-president and his two eldest children must testify in fraud investigation,https://www.theguardian.com/us-news/2022/feb/17/donald-trump-children-testify-new-york-fraud-investigation
‘Historically tragic’  Why are drug overdoses rising among Black and Indigenous Americans? ,https://www.theguardian.com/us-news/2022/feb/17/black-native-americans-fentanyl-deaths-rise-opioid-crisis
Why are drug overdoses rising among Black and Indigenous Americans?,https://www.theguardian.com/us-news/2022/feb/17/black-native-americans-fentanyl-deaths-rise-opioid-crisis
Disney  Branded California community promises the company’s ‘special magic’ ,https://www.theguardian.com/us-news/2022/feb/17/disney-california-storyliving-community-rancho-mirage
Branded California community promises the company’s ‘special magic’,https://www.theguardian.com/us-news/2022/feb/17/disney-california-storyliving-community-rancho-mirage
California  Top university may have to slash admissions after neighborhood group complains ,https://www.theguardian.com/us-news/2022/feb/17/california-ucb-student-housing-local-group-lawsuit
Top university may have to slash admissions after neighborhood group complains,https://www.theguardian.com/us-news/2022/feb/17/california-ucb-student-housing-local-group-lawsuit
Winter Olympics  Mikaela Shiffrin’s nightmare goes on after third failure to finish ,https://www.theguardian.com/sport/2022/feb/17/mikaela-shiffrins-olympic-nightmare-goes-on-after-third-failure-to-finish
Mikaela Shiffrin’s nightmare goes on after third failure to finish,https://www.theguardian.com/sport/2022/feb/17/mikaela-shiffrins-olympic-nightmare-goes-on-after-third-failure-to-finish
Ecuador  Legislators approve regulations allowing abortion in cases of rape ,https://www.theguardian.com/world/2022/feb/17/ecuador-abortion-rape-cases-legal
Legislators approve regulations allowing abortion in cases of rape,https://www.theguardian.com/world/2022/feb/17/ecuador-abortion-rape-cases-legal
New Jersey  Police stop brawl by letting white youth sit on sofa as Black teen is handcuffed ,https://www.theguardian.com/us-news/2022/feb/17/new-jersey-brawling-teenagers-black-white
Police stop brawl by letting white youth sit on sofa as Black teen is handcuffed,https://www.theguardian.com/us-news/2022/feb/17/new-jersey-brawling-teenagers-black-white
Elon Musk  Tesla CEO criticised for tweet likening Trudeau to Hitler ,https://www.theguardian.com/technology/2022/feb/17/elon-musk-criticised-for-comparing-justin-trudeau-to-adolf-hitler-tweet-auschwitz
Tesla CEO criticised for tweet likening Trudeau to Hitler,https://www.theguardian.com/technology/2022/feb/17/elon-musk-criticised-for-comparing-justin-trudeau-to-adolf-hitler-tweet-auschwitz
Apple  CEO Tim Cook faces shareholder revolt over $99m pay package ,https://www.theguardian.com/technology/2022/feb/17/apple-tim-cook-pay-package-shareholders
CEO Tim Cook faces shareholder revolt over $99m pay package,https://www.theguardian.com/technology/2022/feb/17/apple-tim-cook-pay-package-shareholders
"LGBTQ+ rights  Record 7.1% of Americans identify as LGBTQ+, Gallup poll finds ",https://www.theguardian.com/world/2022/feb/17/lgbtq-americans-gallup-poll-survey
"Record 7.1% of Americans identify as LGBTQ+, Gallup poll finds",https://www.theguardian.com/world/2022/feb/17/lgbtq-americans-gallup-poll-survey
