headline,url
,/us-news/2024/apr/11/oj-simpson-dies-cancer
A complicated lifeReactions to OJ Simpson’s death vary,/us-news/2024/apr/11/oj-simpson-death-reactions
Non-reactionSports world reacts with silence and derision,/sport/2024/apr/11/oj-simpson-death-reaction-nfl-football-buffalo-bills
"ObituaryOJ Simpson, 1947-2024",/us-news/2024/apr/11/oj-simpson-obituary
,/us-news/2024/apr/11/trump-mike-johnson-migrant-voting-bill
,/world/2024/apr/11/aid-still-not-reaching-gaza-as-top-us-official-warns-famine-has-started
"IranUS seeking to deter Tehran from strike on Israel, officials say",/world/2024/apr/11/us-confirms-israel-support-in-face-of-iran-reprisal
"ExclusiveBiden knows Netanyahu ‘played’ him in early months of Gaza war, senator says",/us-news/2024/apr/11/tim-kaine-interview-biden-israel-netanyahu
GazaHamas says it does not have 40 hostages who fit criteria for deal with Israel,/world/2024/apr/11/hamas-says-it-does-not-have-40-hostages-who-fit-criteria-for-deal-with-israel
,/sport/2024/apr/11/federal-charges-allege-former-interpreter-stole-16m-from-shohei-ohtani
,/us-news/2024/apr/11/tennessee-marriage-ban-first-cousins
,/us-news/2024/apr/11/california-wrongful-death-asphyxia-shayne-sutherland
,/world/2024/apr/12/joe-biden-philippines-attack-defence-meeting-japan-south-china-sea
,/world/2024/apr/11/kari-lake-arizona-abortion-reversal
,/us-news/2024/apr/11/bombing-alabama-attorney-general-suspect-arrested
,/us-news/2024/apr/11/lara-trump-rnc-election-robocalls
,/media/2024/apr/11/harry-and-meghan-to-produce-two-netflix-series-about-lifestyle-and-polo
