headline,url
"

               Arizona
                Former attorney general in key state withheld evidence debunking 2020 election fraud  ",https://www.theguardian.com/us-news/2023/feb/22/arizona-attorney-general-2020-election-vote-fraud-maricopa-county
Former attorney general in key state withheld evidence debunking 2020 election fraud,https://www.theguardian.com/us-news/2023/feb/22/arizona-attorney-general-2020-election-vote-fraud-maricopa-county
"

               Donald Trump
                Ivanka Trump and Jared Kushner subpoenaed in January 6 investigation – report  ",https://www.theguardian.com/us-news/2023/feb/22/ivanka-trump-jared-kushner-subpoena-january-6-investigation
Ivanka Trump and Jared Kushner subpoenaed in January 6 investigation – report,https://www.theguardian.com/us-news/2023/feb/22/ivanka-trump-jared-kushner-subpoena-january-6-investigation
"

               ‘Big mistake’
                Biden condemns Putin’s withdrawal from nuclear treaty  ",https://www.theguardian.com/us-news/2023/feb/22/biden-putin-russia-nuclear-arms-control-new-start-treaty
Russia-China relations Nations reaffirm close ties as Putin meets top diplomat,https://www.theguardian.com/world/2023/feb/22/china-russia-reaffirm-close-ties-putin-meets-top-diplomat-wang-yi
"Putin Russian president aims to divide US with treaty pullout, experts say",https://www.theguardian.com/us-news/2023/feb/22/putin-biden-us-nuclear-new-start-treaty-russia-ukraine
Russia-China relations Nations reaffirm close ties as Putin meets top diplomat,https://www.theguardian.com/world/2023/feb/22/china-russia-reaffirm-close-ties-putin-meets-top-diplomat-wang-yi
"Putin Russian president aims to divide US with treaty pullout, experts say",https://www.theguardian.com/us-news/2023/feb/22/putin-biden-us-nuclear-new-start-treaty-russia-ukraine
Biden condemns Putin’s withdrawal from nuclear treaty,https://www.theguardian.com/us-news/2023/feb/22/biden-putin-russia-nuclear-arms-control-new-start-treaty
"

                 Pentagon
                  Selfie released of US pilot flying above Chinese spy balloon  ",https://www.theguardian.com/world/2023/feb/22/pentagon-pilot-selfie-chinese-spy-balloon
Selfie released of US pilot flying above Chinese spy balloon,https://www.theguardian.com/world/2023/feb/22/pentagon-pilot-selfie-chinese-spy-balloon
"

                 Turkey
                  Broadcasters fined for coverage critical of earthquake response  ",https://www.theguardian.com/world/2023/feb/23/turkey-fines-broadcasters-for-coverage-critical-of-earthquake-response
Broadcasters fined for coverage critical of earthquake response,https://www.theguardian.com/world/2023/feb/23/turkey-fines-broadcasters-for-coverage-critical-of-earthquake-response
"

                 Colorado Springs
                  LGBTQ+ club shooter posted to neo-Nazi website, police say  ",https://www.theguardian.com/us-news/2023/feb/22/colorado-springs-shooter-neo-nazi-website-club-q
"LGBTQ+ club shooter posted to neo-Nazi website, police say",https://www.theguardian.com/us-news/2023/feb/22/colorado-springs-shooter-neo-nazi-website-club-q
"

                 Donald Trump
                  Environmental rollbacks in focus on visit to Ohio toxic train site  ",https://www.theguardian.com/us-news/2023/feb/22/donald-trump-toxic-train-derailment-east-palestine-ohio
Environmental rollbacks in focus on visit to Ohio toxic train site,https://www.theguardian.com/us-news/2023/feb/22/donald-trump-toxic-train-derailment-east-palestine-ohio
"

                 Florida
                  Journalist and child killed near scene of fatal shooting earlier in day  ",https://www.theguardian.com/us-news/2023/feb/22/journalist-child-scene-earlier-fatal-florida
Journalist and child killed near scene of fatal shooting earlier in day,https://www.theguardian.com/us-news/2023/feb/22/journalist-child-scene-earlier-fatal-florida
"

                 Beverages
                  Soy, oat and almond drinks can still be called milk, US regulators say  ",https://www.theguardian.com/us-news/2023/feb/22/soy-oat-almond-milk-fda-us-regulators
"Soy, oat and almond drinks can still be called milk, US regulators say",https://www.theguardian.com/us-news/2023/feb/22/soy-oat-almond-milk-fda-us-regulators
"

                 Saddleback
                  Southern Baptists expel megachurch over female pastor  ",https://www.theguardian.com/world/2023/feb/22/southern-baptist-saddleback-church-stacie-wood
Southern Baptists expel megachurch over female pastor,https://www.theguardian.com/world/2023/feb/22/southern-baptist-saddleback-church-stacie-wood
"

                 Brazil floods
                  Death toll rises to 48 as landslides and looters prevent aid reaching survivors  ",https://www.theguardian.com/world/2023/feb/23/brazil-floods-death-toll-flooding-landslides-looters-sao-paulo-state
Death toll rises to 48 as landslides and looters prevent aid reaching survivors,https://www.theguardian.com/world/2023/feb/23/brazil-floods-death-toll-flooding-landslides-looters-sao-paulo-state
