headline,url
,/us-news/2024/apr/12/kamala-harris-blames-trump-arizona-abortion-ban
Donald TrumpEx-president boasts ‘We broke Roe v Wade’ as abortion dogs GOP election hopes,/us-news/2024/apr/12/donald-trump-abortion-roe-v-wade-election
"Reproductive rightsSterilization rate in US jumps after overturning of Roe v Wade, study shows",/us-news/2024/apr/12/sterilizations-roe-v-wade
AbortionKari Lake denounces Arizona ban that she once supported,/world/2024/apr/11/kari-lake-arizona-abortion-reversal
,/us-news/2024/apr/12/fisa-surveillance-act-reauthorized
What is Fisa?And what does the bill mean for no-warrant spying?,/world/2024/apr/12/what-is-fisa-warrant-surveillance
,/world/2024/apr/12/france-diplomats-families-iran-israel-travel-warnings
AustraliaQantas pauses Perth to London route due to expected Iranian attack on Israel,/business/2024/apr/13/qantas-pauses-perth-to-london-route-due-to-expected-iranian-attack-on-israel
West BankOne dead and dozens injured after Israeli settlers storm village,/world/2024/apr/12/one-dead-after-israeli-settlers-storm-palestinian-village-in-west-bank
PalestineIreland and Spain plan to form alliance to recognize state ,/world/2024/apr/12/ireland-and-spain-reiterate-plan-to-form-alliance-to-recognise-state-of-palestine
,/technology/2024/apr/12/google-search-blocking-california-news
,/us-news/2024/apr/12/hunter-biden-gun-charges-case
,/sport/2024/apr/12/bad-bunny-baseball-agent-certification-revoked
,/world/2024/apr/12/us-ambassador-sentenced-secret-agent-cuba
,/world/2024/apr/12/china-supporting-russia-in-massive-military-expansion-us-says
,/us-news/2024/apr/12/texas-hospital-liver-kidney-transplants
,/fashion/2024/apr/12/roberto-cavalli-flamboyant-italian-fashion-designer-dies-aged-83
